TotalLoadMW,ForecastTotalLoadMw,IdDate,IdMacroZone
2610.07,2447.4,15,2
13407.62,12572.02,15,1
5300.83,4970.47,15,4
1890.57,1772.75,15,5
1030.4,966.18,15,7
544.22,510.3,15,6
1964.31,1841.89,15,3
26748,25081,15,8
1022.77,965.03,16,7
2544.07,2400.44,16,2
13355.36,12601.37,16,1
4978.97,4697.87,16,4
1924.17,1815.54,16,5
578.71,546.04,16,6
1881.95,1775.71,16,3
26286,24802,16,8
1970.26,1802.41,17,5
1068.58,977.55,17,7
2465.8,2255.73,17,2
13637.3,12475.5,17,1
4978.31,4554.19,17,4
612.02,559.88,17,6
2065.73,1889.75,17,3
26798,24515,17,8
1097.43,964.93,18,7
2699.05,2373.18,18,2
14843.39,13051.26,18,1
5457.02,4798.16,18,4
2082.31,1830.9,18,5
748.79,658.38,18,6
2475.01,2176.19,18,3
29403,25853,18,8
2709.39,2533.28,19,2
15301.04,14306.44,19,1
5684.72,5315.2,19,4
2218.65,2074.43,19,5
1146.69,1072.15,19,7
735.56,687.74,19,6
2479.96,2318.76,19,3
30276,28308,19,8
1162.61,1100.3,20,7
2741.93,2594.97,20,2
15677.58,14837.32,20,1
5744.31,5436.44,20,4
2281.98,2159.67,20,5
764.37,723.41,20,6
2506.22,2371.9,20,3
30879,29224,20,8
15382.83,15106.51,21,1
5865.42,5760.06,21,4
2329.68,2287.83,21,5
1170.8,1149.77,21,7
2785.66,2735.62,21,2
785.81,771.7,21,6
2464.79,2420.52,21,3
30785,30232,21,8
1143.62,1165.38,22,7
2551.84,2600.38,22,2
14530.82,14807.26,22,1
5586.45,5692.73,22,4
2284.68,2328.15,22,5
750.14,764.41,22,6
2430.46,2476.7,22,3
29278,29835,22,8
2438.48,2492.64,23,2
13627.55,13930.21,23,1
5320.46,5438.62,23,4
2220.07,2269.38,23,5
1100.1,1124.53,23,7
701.6,717.18,23,6
2372.75,2425.45,23,3
27781,28398,23,8
1010.85,1053.04,24,7
2286.44,2381.87,24,2
12234.77,12745.39,24,1
4825.59,5026.98,24,4
2034.02,2118.91,24,5
653.82,681.11,24,6
2185.51,2276.72,24,3
25231,26284,24,8
4377.29,4404.63,25,4
1812.87,1824.19,25,5
939.75,945.62,25,7
2094.41,2107.49,25,2
11073.96,11143.12,25,1
546.66,550.08,25,6
2052.06,2064.87,25,3
22897,23040,25,8
840.33,848.31,26,7
1950.47,1968.99,26,2
10435.58,10534.65,26,1
3967.47,4005.13,26,4
1676.31,1692.23,26,5
509.24,514.07,26,6
1686.6,1702.62,26,3
21066,21266,26,8
1867.95,1815.72,27,2
9946.55,9668.41,27,1
3732.41,3628.04,27,4
1577.02,1532.92,27,5
810.32,787.66,27,7
462.89,449.95,27,6
1700.87,1653.3,27,3
20098,19536,27,8
790.31,762.97,28,7
1815.11,1752.31,28,2
9752.18,9414.74,28,1
3523.95,3402.02,28,4
1513.64,1461.26,28,5
442.07,426.78,28,6
1641.74,1584.93,28,3
19479,18805,28,8
9866.44,9385.38,29,1
3599.94,3424.42,29,4
1494.5,1421.63,29,5
783.08,744.9,29,7
1850.42,1760.2,29,2
451.89,429.85,29,6
1581.74,1504.62,29,3
19628,18671,29,8
794.45,755.4,30,7
1878.93,1786.57,30,2
10180.28,9679.82,30,1
3631.41,3452.89,30,4
1522.16,1447.33,30,5
459.78,437.18,30,6
1711.99,1627.83,30,3
20179,19187,30,8
2032.76,1930.65,31,2
11296.29,10728.84,31,1
3930.47,3733.03,31,4
1640.61,1558.2,31,5
867.57,823.99,31,7
488.71,464.16,31,6
1800.6,1710.15,31,3
22057,20949,31,8
2168.84,2146.02,32,2
12169.89,12041.84,32,1
4220.74,4176.33,32,4
1751.12,1732.69,32,5
916.37,906.72,32,7
516.03,510.61,32,6
1922.02,1901.8,32,3
23665,23416,32,8
1859.92,1895.63,33,5
982.41,1001.27,33,7
2298.62,2342.75,33,2
13114.79,13366.59,33,1
4574.84,4662.67,33,4
570.62,581.57,33,6
2015.81,2054.52,33,3
25417,25905,33,8
1079.74,1136.24,34,7
2493.76,2624.26,34,2
14038.05,14772.64,34,1
5032.37,5295.71,34,4
2112.89,2223.46,34,5
637.05,670.39,34,6
2239.13,2356.31,34,3
27633,29079,34,8
2890.56,2994.48,35,2
15091.58,15634.15,35,1
5765.58,5972.86,35,4
2217.03,2296.74,35,5
1126.51,1167.01,35,7
661.88,685.67,35,6
2481.86,2571.08,35,3
30235,31322,35,8
1222.68,1250.57,36,7
3040.7,3110.06,36,2
16019.42,16384.81,36,1
5829.67,5962.64,36,4
2251.4,2302.76,36,5
679.8,695.31,36,6
2566.33,2624.87,36,3
31610,32331,36,8
16471.74,17652.58,37,1
5871.42,6292.34,37,4
2162.96,2318.02,37,5
1136.75,1218.24,37,7
2964.71,3177.25,37,2
680.97,729.79,37,6
2236.45,2396.78,37,3
31525,33785,37,8
1210.21,1314.41,38,7
2848.84,3094.12,38,2
15930.68,17302.27,38,1
5914.79,6424.04,38,4
2340.92,2542.47,38,5
686.59,745.7,38,6
2183.96,2371.99,38,3
31116,33795,38,8
2594.16,2796.09,39,2
15549.95,16760.35,39,1
5762.27,6210.8,39,4
2217.1,2389.67,39,5
1178.6,1270.34,39,7
664.3,716.01,39,6
2069.63,2230.73,39,3
30036,32374,39,8
1190.44,1270.58,40,7
2603.13,2778.36,40,2
15006.05,16016.22,40,1
5757.17,6144.73,40,4
2205.55,2354.02,40,5
653.23,697.2,40,6
2175.45,2321.89,40,3
29591,31583,40,8
5893.16,6163.51,41,4
2241.43,2344.25,41,5
1082.75,1132.42,41,7
2671.32,2793.86,41,2
15393.21,16099.38,41,1
657.32,687.48,41,6
2316.81,2423.1,41,3
30256,31644,41,8
1181.26,1182.32,42,7
2938.27,2940.89,42,2
16998.29,17013.49,42,1
6566.3,6572.17,42,4
2452.75,2454.94,42,5
762.59,763.27,42,6
2664.54,2666.92,42,3
33564,33594,42,8
3062.75,3080.44,43,2
17844.94,17948,43,1
6671.48,6710.01,43,4
2673.24,2688.68,43,5
1237.96,1245.11,43,7
786.59,791.13,43,6
2698.03,2713.62,43,3
34975,35177,43,8
1259.39,1250.16,44,7
3093.34,3070.67,44,2
18057.44,17925.14,44,1
6847.64,6797.47,44,4
2730.72,2710.72,44,5
839.25,833.1,44,6
2660.23,2640.74,44,3
35488,35228,44,8
16778.98,16921.93,45,1
6718.88,6776.12,45,4
2753.15,2776.6,45,5
1237.74,1248.28,45,7
2960.91,2986.14,45,2
839.6,846.76,45,6
2632.74,2655.17,45,3
33922,34211,45,8
1182.58,1195.95,46,7
2729.78,2760.65,46,2
15509.18,15684.59,46,1
6152.54,6222.12,46,4
2611.06,2640.6,46,5
778.35,787.15,46,6
2602.52,2631.95,46,3
31566,31923,46,8
2571.8,2590.67,47,2
14419.81,14525.65,47,1
5660.1,5701.64,47,4
2443.22,2461.16,47,5
1086.19,1094.16,47,7
688,693.05,47,6
2421.89,2439.67,47,3
29291,29506,47,8
2321.38,2371.57,48,2
12964.63,13244.9,48,1
5077.66,5187.43,48,4
2204.27,2251.92,48,5
991.37,1012.8,48,7
610.24,623.43,48,6
2196.46,2243.95,48,3
26366,26936,48,8
4528.67,4544.28,49,4
1896.99,1903.53,49,5
907.95,911.08,49,7
2161.38,2168.83,49,2
11792.6,11833.25,49,1
532.64,534.47,49,6
1971.77,1978.56,49,3
23792,23874,49,8
838.68,868.91,50,7
1956.48,2026.99,50,2
10936.02,11330.13,50,1
4168.27,4318.48,50,4
1738.61,1801.27,50,5
472.31,489.33,50,6
1672.63,1732.9,50,3
21783,22568,50,8
1898.49,1940.37,51,2
10429.28,10659.32,51,1
3847.17,3932.03,51,4
1648.15,1684.5,51,5
788.99,806.4,51,7
432.2,441.73,51,6
1674.71,1711.65,51,3
20719,21176,51,8
781.51,791.36,52,7
1810.66,1833.48,52,2
10117.84,10245.38,52,1
3697.81,3744.42,52,4
1542.14,1561.58,52,5
419.18,424.46,52,6
1621.87,1642.31,52,3
19991,20243,52,8
10063.21,10138.26,53,1
3525.44,3551.74,53,4
1504.88,1516.1,53,5
761.02,766.69,53,7
1785.32,1798.64,53,2
392.47,395.39,53,6
1678.66,1691.18,53,3
19711,19858,53,8
779.46,764.06,54,7
1825.78,1789.71,54,2
10469.26,10262.45,54,1
3619.41,3547.92,54,4
1530.98,1500.74,54,5
435.66,427.05,54,6
1740.46,1706.08,54,3
20401,19998,54,8
1967.28,1893.11,55,2
11016.94,10601.61,55,1
3944.15,3795.46,55,4
1597.55,1537.32,55,5
819.32,788.43,55,7
462.06,444.64,55,6
1731.71,1666.43,55,3
21539,20727,55,8
2021.03,1971.18,56,2
11555.78,11270.76,56,1
4074.49,3973.99,56,4
1631.24,1591.01,56,5
857.52,836.37,56,7
481.62,469.74,56,6
1839.32,1793.95,56,3
22461,21907,56,8
12051.08,11799.9,57,1
4250.5,4161.91,57,4
1705.71,1670.16,57,5
920.48,901.29,57,7
2074.17,2030.94,57,2
527.84,516.84,57,6
1836.23,1797.96,57,3
23366,22879,57,8
1051.59,1008.81,58,7
2270.33,2177.97,58,2
13035.47,12505.14,58,1
4779.36,4584.91,58,4
2004.07,1922.54,58,5
642.51,616.37,58,6
1951.67,1872.27,58,3
25735,24688,58,8
2322.07,2290.42,59,2
14468.54,14271.31,59,1
5180.14,5109.52,59,4
2230.04,2199.64,59,5
1093.21,1078.31,59,7
686.43,677.07,59,6
1822.58,1797.73,59,3
27803,27424,59,8
2382.25,2401.45,60,2
15408.34,15532.51,60,1
5463.6,5507.63,60,4
2218.23,2236.11,60,5
1245.73,1255.76,60,7
694.24,699.84,60,6
1996.61,2012.7,60,3
29409,29646,60,8
2485.08,2427.6,61,2
16511.24,16129.39,61,1
5991.83,5853.26,61,4
2144.57,2094.98,61,5
1277.62,1248.07,61,7
688.98,673.05,61,6
2206.68,2155.64,61,3
31306,30582,61,8
2414.9,2441.25,62,2
14717.71,14878.33,62,1
5849.73,5913.57,62,4
2280.99,2305.88,62,5
1166.97,1179.71,62,7
751.05,759.25,62,6
2231.66,2256.01,62,3
29413,29734,62,8
724.99,721,63,6
2308.38,2295.66,63,2
14222.08,14143.72,63,1
5533.87,5503.38,63,4
2255.59,2243.16,63,5
1232.94,1226.14,63,7
2036.16,2024.94,63,3
28314,28158,63,8
1117.77,1092.99,64,7
2379.3,2326.56,64,2
13914.11,13605.68,64,1
5490.2,5368.5,64,4
2160.2,2112.31,64,5
678.99,663.94,64,6
2274.44,2224.02,64,3
28015,27394,64,8
1122.83,1058.07,65,7
2578.1,2429.41,65,2
14232.47,13411.6,65,1
5686.79,5358.8,65,4
2163.86,2039.05,65,5
682.74,643.36,65,6
2141.22,2017.72,65,3
28608,26958,65,8
2874.17,2620.73,66,2
15512.95,14145.04,66,1
6149.28,5607.05,66,4
2383.25,2173.1,66,5
1194.02,1088.74,66,7
753.43,686.99,66,6
2534.89,2311.36,66,3
31402,28633,66,8
1228.27,1168.79,67,7
2939.98,2797.59,67,2
16241.44,15454.83,67,1
6227.3,5925.69,67,4
2506.03,2384.65,67,5
787.39,749.26,67,6
2671.59,2542.2,67,3
32602,31023,67,8
16849.71,15926.52,68,1
6511.75,6154.97,68,4
2613.48,2470.29,68,5
1284.37,1214,68,7
3107.04,2936.81,68,2
855.52,808.65,68,6
2781.15,2628.77,68,3
34003,32140,68,8
1279.34,1231.25,69,7
3058.99,2944.02,69,2
16661,16034.78,69,1
6557.34,6310.88,69,4
2582.84,2485.76,69,5
843.69,811.98,69,6
2699.81,2598.34,69,3
33683,32417,69,8
2783.73,2777.39,70,2
15270.96,15236.17,70,1
5976.17,5962.55,70,4
2474.99,2469.35,70,5
1189.87,1187.16,70,7
792.31,790.5,70,6
2677.97,2671.87,70,3
31166,31095,70,8
1125.84,1138.83,71,7
2571.65,2601.32,71,2
14087.23,14249.75,71,1
5635.86,5700.88,71,4
2324.52,2351.34,71,5
744.32,752.91,71,6
2460.57,2488.96,71,3
28950,29284,71,8
5149.51,5224.05,72,4
2133.88,2164.77,72,5
1021.59,1036.38,72,7
2371.27,2405.6,72,2
12840.87,13026.75,72,1
646.48,655.84,72,6
2293.41,2326.61,72,3
26457,26840,72,8
895.21,877.5,73,7
2225.62,2181.61,73,2
11839.51,11605.39,73,1
4553.08,4463.04,73,4
1823.94,1787.87,73,5
549.76,538.89,73,6
1981.89,1942.7,73,3
23869,23397,73,8
1991.89,2001.69,74,2
11277.57,11333.04,74,1
4029.12,4048.93,74,4
1643.56,1651.64,74,5
797.86,801.79,74,7
452.67,454.89,74,6
1766.33,1775.02,74,3
21959,22067,74,8
773.07,778.02,75,7
1936.09,1948.48,75,2
10757.58,10826.43,75,1
3719.09,3742.9,75,4
1522.33,1532.08,75,5
434.12,436.9,75,6
1792.72,1804.19,75,3
20935,21069,75,8
10579.3,10607.47,76,1
3644.61,3654.32,76,4
1491.65,1495.63,76,5
771.75,773.81,76,7
1888.12,1893.15,76,2
433.96,435.12,76,6
1843.61,1848.52,76,3
20653,20708,76,8
777.19,767.49,77,7
1934.12,1909.99,77,2
10729.42,10595.53,77,1
3719.57,3673.15,77,4
1525.53,1506.49,77,5
432,426.61,77,6
1878.19,1854.75,77,3
20996,20734,77,8
2022.19,1983.73,78,2
11253.6,11039.57,78,1
3920.12,3845.57,78,4
1563.53,1533.8,78,5
789.83,774.81,78,7
458.33,449.61,78,6
1918.4,1881.92,78,3
21926,21509,78,8
874.91,832.63,79,7
2252.69,2143.82,79,2
13265.68,12624.55,79,1
4498.92,4281.49,79,4
1741.87,1657.69,79,5
526.92,501.45,79,6
2103.01,2001.37,79,3
25264,24043,79,8
1919.56,1796.64,80,5
999.63,935.62,80,7
2672.76,2501.61,80,2
16343.64,15297.11,80,1
5351.9,5009.2,80,4
651.16,609.47,80,6
2436.37,2280.36,80,3
30375,28430,80,8
1117.43,1052.82,81,7
3118,2937.72,81,2
19227.14,18115.45,81,1
5913.07,5571.18,81,4
2129.56,2006.44,81,5
698.54,658.15,81,6
2802.27,2640.24,81,3
35006,32982,81,8
3449.1,3256.03,82,2
21147.32,19963.55,82,1
6627.82,6256.81,82,4
2379.55,2246.35,82,5
1277.67,1206.15,82,7
891.03,841.15,82,6
3082.51,2909.96,82,3
38855,36680,82,8
1225.48,1172.66,83,7
3503.94,3352.91,83,2
22089.49,21137.4,83,1
7025.34,6722.54,83,4
2495.09,2387.55,83,5
953.28,912.19,83,6
3425.39,3277.75,83,3
40718,38963,83,8
21895.88,21408.04,84,1
6906.63,6752.75,84,4
2505.97,2450.13,84,5
1306.47,1277.36,84,7
3541.34,3462.44,84,2
978.34,956.54,84,6
3395.38,3319.73,84,3
40530,39627,84,8
1187.37,1176.79,85,7
3389.21,3359.03,85,2
22046.84,21850.5,85,1
6667.79,6608.41,85,4
2416.55,2395.03,85,5
890,882.08,85,6
3153.24,3125.16,85,3
39751,39397,85,8
3449.25,3378.79,86,2
21322.3,20886.77,86,1
7063.28,6919,86,4
2482.65,2431.93,86,5
1195.41,1170.99,86,7
794.92,778.68,86,6
3004.2,2942.84,86,3
39312,38509,86,8
1225,1181.07,87,7
3530.33,3403.74,87,2
21588.12,20814,87,1
6957.91,6708.41,87,4
2490.62,2401.32,87,5
772.78,745.07,87,6
2868.25,2765.4,87,3
39433,38019,87,8
7202.68,6829.14,88,4
2667.7,2529.35,88,5
1283.75,1217.18,88,7
3514.73,3332.45,88,2
21533.37,20416.63,88,1
842.7,799,88,6
3043.08,2885.26,88,3
40088,38009,88,8
1308.54,1261.66,89,7
3556.27,3428.86,89,2
21670.66,20894.27,89,1
7218.53,6959.92,89,4
2517.45,2427.25,89,5
804.05,775.25,89,6
2950.51,2844.8,89,3
40026,38592,89,8
3701.93,3584.78,90,2
22631.82,21915.63,90,1
7592.56,7352.29,90,4
2673.45,2588.84,90,5
1299.76,1258.62,90,7
875.1,847.41,90,6
3348.39,3242.43,90,3
42123,40790,90,8
1343.09,1311.74,91,7
3735.7,3648.52,91,2
22485.03,21960.25,91,1
7870.29,7686.61,91,4
2893.66,2826.13,91,5
900.87,879.85,91,6
3446.36,3365.92,91,3
42675,41679,91,8
22268.34,21504.69,92,1
7949.53,7676.91,92,4
2941.76,2840.88,92,5
1354.57,1308.12,92,7
3681.69,3555.43,92,2
986.45,952.62,92,6
3362.68,3247.36,92,3
42545,41086,92,8
1322.34,1306.07,93,7
3406.96,3365.05,93,2
20865.19,20608.49,93,1
7727.91,7632.84,93,4
2923.32,2887.36,93,5
944.96,933.33,93,6
3288.33,3247.88,93,3
40479,39981,93,8
3119.14,3144.14,94,2
19261.24,19415.67,94,1
6996.03,7052.12,94,4
2759.92,2782.04,94,5
1251.33,1261.36,94,7
841.13,847.87,94,6
3064.23,3088.8,94,3
37293,37592,94,8
2937.34,2973.42,95,2
17179.16,17390.14,95,1
6487.69,6567.37,95,4
2550.43,2581.76,95,5
1163.73,1178.02,95,7
755.72,765.01,95,6
2878.93,2914.28,95,3
33953,34370,95,8
2270.62,2285.16,96,5
1066.74,1073.57,96,7
2699.63,2716.91,96,2
15471.17,15570.21,96,1
5930.19,5968.15,96,4
689.98,694.4,96,6
2646.66,2663.6,96,3
30775,30972,96,8
944.45,925.29,97,7
2477.49,2427.25,97,2
14060.81,13775.69,97,1
5124.77,5020.85,97,4
1919.59,1880.67,97,5
598.73,586.59,97,6
2392.17,2343.66,97,3
27518,26960,97,8
2229.93,2227.1,98,2
13150.64,13133.95,98,1
4574.09,4568.29,98,4
1657.62,1655.52,98,5
866.02,864.92,98,7
543.33,542.64,98,6
2198.37,2195.58,98,3
25220,25188,98,8
816.83,811.69,99,7
2109.8,2096.53,99,2
12569.91,12490.84,99,1
4268.03,4241.18,99,4
1525.2,1515.61,99,5
515.89,512.64,99,6
2039.34,2026.52,99,3
23845,23695,99,8
12243.85,12176.41,100,1
4044.07,4021.79,100,4
1483.15,1474.98,100,5
798.85,794.45,100,7
2105.91,2094.31,100,2
509,506.2,100,6
2053.18,2041.87,100,3
23238,23110,100,8
795.44,788.15,101,7
2101.26,2081.99,101,2
12358.89,12245.58,101,1
4152.46,4114.39,101,4
1431.51,1418.38,101,5
498.09,493.52,101,6
2003.36,1984.99,101,3
23341,23127,101,8
2178.99,2146.48,102,2
12746.34,12556.16,102,1
4254.74,4191.26,102,4
1465.33,1443.47,102,5
811.86,799.75,102,7
516.58,508.88,102,6
2088.15,2057,102,3
24062,23703,102,8
893.78,852.5,103,7
2440.39,2327.66,103,2
14748.22,14067,103,1
4790.15,4568.89,103,4
1614.67,1540.09,103,5
589.4,562.18,103,6
2310.4,2203.68,103,3
27387,26122,103,8
5587.75,5251.2,104,4
1803.2,1694.59,104,5
1006.85,946.21,104,7
2891.72,2717.55,104,2
17560.08,16502.44,104,1
682.61,641.5,104,6
2627.79,2469.51,104,3
32160,30223,104,8
1143.06,1073.83,105,7
3325.94,3124.5,105,2
20539.68,19295.67,105,1
6305.1,5923.22,105,4
2021.71,1899.26,105,5
749.94,704.51,105,6
2849.59,2677.01,105,3
36935,34698,105,8
3680.41,3556.79,106,2
21941.12,21204.16,106,1
7053.69,6816.77,106,4
2320.73,2242.78,106,5
1235.35,1193.86,106,7
930.84,899.57,106,6
2881.86,2785.07,106,3
40044,38699,106,8
1311.19,1293.35,107,7
3835.73,3783.54,107,2
22559.71,22252.77,107,1
7610.81,7507.26,107,4
2350.82,2318.84,107,5
884.2,872.17,107,6
2827.54,2789.07,107,3
41380,40817,107,8
22793.42,22096.24,108,1
7815.41,7576.37,108,4
2466.78,2391.33,108,5
1370.17,1328.26,108,7
3967.19,3845.85,108,2
833.1,807.61,108,6
2732.94,2649.35,108,3
41979,40695,108,8
1223.01,1183.28,109,7
3949.85,3821.54,109,2
22880.91,22137.65,109,1
7498.15,7254.58,109,4
2189.68,2118.55,109,5
757.7,733.08,109,6
2844.72,2752.32,109,3
41344,40001,109,8
3756.82,3640.26,110,2
21887.49,21208.4,110,1
7688.28,7449.74,110,4
2289.17,2218.14,110,5
1254.43,1215.51,110,7
749.61,726.35,110,6
2920.21,2829.6,110,3
40546,39288,110,8
3688.61,3516.7,111,2
21937.23,20914.82,111,1
7779.64,7417.06,111,4
2335.35,2226.51,111,5
1344.32,1281.66,111,7
769.68,733.81,111,6
2998.18,2858.45,111,3
40853,38949,111,8
7801.92,7498,112,4
2340.95,2249.76,112,5
1263.64,1214.42,112,7
3708.85,3564.37,112,2
22354.61,21483.8,112,1
797.27,766.21,112,6
2703.77,2598.45,112,3
40971,39375,112,8
1228.69,1177.54,113,7
3709.54,3555.09,113,2
22416.76,21483.43,113,1
7658.93,7340.05,113,4
2242.24,2148.88,113,5
765.19,733.33,113,6
2857.67,2738.69,113,3
40879,39177,113,8
3884.3,3653.05,114,2
23254.47,21870,114,1
8190.42,7702.8,114,4
2489,2340.81,114,5
1288.36,1211.66,114,7
829.99,780.58,114,6
3096.45,2912.1,114,3
43033,40471,114,8
1331.49,1300.72,115,7
3842.31,3753.52,115,2
22915.27,22385.73,115,1
8108.26,7920.89,115,4
2653.01,2591.7,115,5
893.3,872.66,115,6
3097.37,3025.79,115,3
42841,41851,115,8
22243.73,21787.97,116,1
7945.36,7782.56,116,4
2687.91,2632.84,116,5
1342.33,1314.83,116,7
3746.98,3670.21,116,2
897.87,879.47,116,6
3157.82,3093.12,116,3
42022,41161,116,8
1329.47,1314.9,117,7
3497.83,3459.49,117,2
20908.79,20679.61,117,1
7831.24,7745.4,117,4
2704.6,2674.95,117,5
882.38,872.71,117,6
3078.7,3044.95,117,3
40233,39792,117,8
3221.87,3233.58,118,2
19324.98,19395.2,118,1
7038.46,7064.03,118,4
2528.28,2537.47,118,5
1260.66,1265.24,118,7
807.28,810.22,118,6
2971.48,2982.27,118,3
37153,37288,118,8
2955.24,2971.15,119,2
17651.59,17746.57,119,1
6442.51,6477.18,119,4
2323.63,2336.13,119,5
1173.81,1180.13,119,7
697.84,701.59,119,6
2762.39,2777.25,119,3
34007,34190,119,8
15850.1,16082.07,120,1
5938.56,6025.48,120,4
2095.62,2126.3,120,5
1076.06,1091.81,120,7
2664.23,2703.22,120,2
619.53,628.59,120,6
2297.9,2331.53,120,3
30542,30989,120,8
982.12,965.08,121,7
2484.38,2441.3,121,2
14410.43,14160.52,121,1
5184.98,5095.06,121,4
1777.31,1746.48,121,5
533.47,524.22,121,6
2132.31,2095.33,121,3
27505,27028,121,8
2287.84,2300.51,122,2
13530.51,13605.44,122,1
4688.62,4714.58,122,4
1592.76,1601.57,122,5
883.06,887.95,122,7
479.53,482.18,122,6
1820.68,1830.77,122,3
25283,25423,122,8
2191.72,2177.11,123,2
13074.02,12986.89,123,1
4290.75,4262.15,123,4
1466.34,1456.57,123,5
834.8,829.24,123,7
457.46,454.41,123,6
1842.91,1830.63,123,3
24158,23997,123,8
2165.41,2154.19,124,2
12496.41,12431.67,124,1
4094.69,4073.47,124,4
1408.72,1401.42,124,5
805.55,801.38,124,7
454.07,451.72,124,6
1739.16,1730.15,124,3
23164,23044,124,8
2100.25,2061.55,125,2
12588.58,12356.6,125,1
4116.98,4041.12,125,4
1384.9,1359.38,125,5
793.88,779.25,125,7
438.49,430.41,125,6
1694.93,1663.69,125,3
23118,22692,125,8
2113.09,2072.72,126,2
4071.54,3993.75,126,4
1379.32,1352.97,126,5
806.33,790.92,126,7
448.05,439.49,126,6
12987.59,12739.46,126,1
23554,23104,126,8
1748.09,1714.69,126,3
25144,24204,127,8
858.65,826.55,127,7
2251.7,2167.52,127,2
13934.07,13413.15,127,1
4292.07,4131.61,127,4
1478.42,1423.15,127,5
474.77,457.02,127,6
1854.31,1784.98,127,3
2378.42,2312.74,128,2
14698.1,14292.24,128,1
4550.24,4424.59,128,4
1554.11,1511.2,128,5
901.55,876.66,128,7
512.57,498.41,128,6
1950.01,1896.16,128,3
26545,25812,128,8
962.79,951.33,129,7
2469.19,2439.8,129,2
15324.12,15141.68,129,1
4668.88,4613.3,129,4
1625.04,1605.69,129,5
563.53,556.82,129,6
2104.45,2079.39,129,3
27718,27388,129,8
15889.61,15460.98,130,1
5289.47,5146.78,130,4
2004.63,1950.55,130,5
1118.09,1087.93,130,7
2643.03,2571.73,130,2
721.67,702.2,130,6
2509.52,2441.83,130,3
30176,29362,130,8
1242.57,1224.4,131,7
2910.61,2868.04,131,2
16890.48,16643.41,131,1
5785.15,5700.53,131,4
2115.86,2084.91,131,5
810.5,798.65,131,6
2375.82,2341.07,131,3
32131,31661,131,8
2951.99,2961.44,132,2
17431.65,17487.5,132,1
6015.9,6035.17,132,4
2133.57,2140.41,132,5
1286.78,1290.9,132,7
747.83,750.22,132,6
2515.3,2523.36,132,3
33083,33189,132,8
1267.03,1242.65,133,7
2977.72,2920.44,133,2
18365.59,18012.32,133,1
6320.09,6198.52,133,4
2242.57,2199.44,133,5
807.95,792.41,133,6
